date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:50:42	2072/2072	---M--	200	added ('OK')	image/jpeg	etag:%22818-5bcc7bcf27fee%22	https://catalog.wlimg.com/templates-images/12577/12584/bg3.jpg	C:/My%20Web%20Sites/WEBSITE1234/catalog.wlimg.com/templates-images/12577/12584/bg3.jpg	(from http://www.cheemafarm.co.in/thanks.htm)
20:50:46	90509/90509	---MC-	200	added ('OK')	text/html	date:Fri,%2016%20Jul%202021%2015:20:42%20GMT	http://www.cheemafarm.co.in/live-brahma-chicken.htm	C:/My%20Web%20Sites/WEBSITE1234/www.cheemafarm.co.in/live-brahma-chicken.html	(from http://www.cheemafarm.co.in/thanks.htm)
20:50:47	21277/21277	---M--	200	added ('OK')	image/jpeg	etag:%22531d-5bfe96592f002%22	https://2.wlimg.com/product_images/bc-full/2021/4/5914120/live-aseel-fighter-chicken-1618384035-5789779.jpeg	C:/My%20Web%20Sites/WEBSITE1234/2.wlimg.com/product_images/bc-full/2021/4/5914120/live-aseel-fighter-chicken-1618384035-5789779.jpg	(from http://www.cheemafarm.co.in/products.htm)
20:50:54	44992/44992	---M--	200	added ('OK')	image/jpeg	etag:%22afc0-5c08edcc4ef70%22	https://2.wlimg.com/product_images/bc-full/2021/4/5914120/live-brahma-chicken-1619094705-5798891.jpeg	C:/My%20Web%20Sites/WEBSITE1234/2.wlimg.com/product_images/bc-full/2021/4/5914120/live-brahma-chicken-1619094705-5798891.jpg	(from http://www.cheemafarm.co.in/products.htm)
20:50:57	81084/81084	---M--	200	added ('OK')	image/jpeg	etag:%2213cbc-5bfe9a6db68bc%22	https://2.wlimg.com/product_images/bc-full/2021/4/5914120/live-ffg-kuroiler-chicken-1618385131-5789834.jpeg	C:/My%20Web%20Sites/WEBSITE1234/2.wlimg.com/product_images/bc-full/2021/4/5914120/live-ffg-kuroiler-chicken-1618385131-5789834.jpg	(from http://www.cheemafarm.co.in/products.htm)
20:51:03	33422/33422	---M--	200	added ('OK')	image/jpeg	etag:%22828e-5bffd0ce52aed%22	https://2.wlimg.com/product_images/bc-full/2021/4/5914120/poultry-feeder-1618468447-5790929.jpeg	C:/My%20Web%20Sites/WEBSITE1234/2.wlimg.com/product_images/bc-full/2021/4/5914120/poultry-feeder-1618468447-5790929.jpg	(from http://www.cheemafarm.co.in/products.htm)
20:51:05	121451/121451	---M--	200	added ('OK')	image/jpeg	etag:%221da6b-5c08ee93394e6%22	https://2.wlimg.com/product_images/bc-full/2021/4/5914120/quail-birds-1619094913-5798895.jpeg	C:/My%20Web%20Sites/WEBSITE1234/2.wlimg.com/product_images/bc-full/2021/4/5914120/quail-birds-1619094913-5798895.jpg	(from http://www.cheemafarm.co.in/products.htm)
20:51:06	85886/85886	---M--	200	added ('OK')	image/jpeg	etag:%2214f7e-5bfe9e692f8c3%22	https://2.wlimg.com/product_images/bc-full/2021/4/5914120/agricultural-sprayer-1618386200-5789878.jpeg	C:/My%20Web%20Sites/WEBSITE1234/2.wlimg.com/product_images/bc-full/2021/4/5914120/agricultural-sprayer-1618386200-5789878.jpg	(from http://www.cheemafarm.co.in/products.htm)
20:51:14	11691/11691	---MC-	200	added ('OK')	text/html	date:Fri,%2016%20Jul%202021%2015:21:13%20GMT	http://www.cheemafarm.co.in/enquiry-form-10019.htm?product_slno=2906069	C:/My%20Web%20Sites/WEBSITE1234/www.cheemafarm.co.in/enquiry-form-10019baad.html	(from http://www.cheemafarm.co.in/poultry-water-sanitizer.htm)
20:51:14	20437/20437	---M-Z	200	added ('OK')	text/css	etag:%224fd5-5c47846e2e4d2-gzip%22	http://catalog.wlimg.com/main-common/intlTelInput.css	C:/My%20Web%20Sites/WEBSITE1234/catalog.wlimg.com/main-common/intlTelInput.css	(from http://www.cheemafarm.co.in/poultry-water-sanitizer.htm)
